No,Date,Direction,PosNo,Size,Price,SL,TP,Profit,Cummul
1,2018.01.04 16:00,sell,1,0.1,0.89089,0,0,,
2,2018.01.04 16:00,modify,1,0.1,0.89089,0.90099,0,,
3,2018.01.07 23:00,buy,2,0.1,0.8867,0,0,,
4,2018.01.07 23:00,modify,2,0.1,0.8867,0.8766,0,,
5,2018.01.08 07:00,buy,3,0.1,0.8869,0,0,,
6,2018.01.08 07:00,modify,3,0.1,0.8869,0.8768,0,,
7,2018.01.08 08:44,close,1,0.1,0.88568,0.90099,0,58.08,10058.08
8,2018.01.08 10:00,buy,4,0.1,0.88634,0,0,,
9,2018.01.08 10:00,modify,4,0.1,0.88634,0.87624,0,,
10,2018.01.10 14:00,sell,5,0.1,0.88679,0,0,,
11,2018.01.10 14:00,modify,5,0.1,0.88679,0.89689,0,,
12,2018.01.11 12:30,close,2,0.1,0.8884,0.8766,0,15.07,10073.15
13,2018.01.11 12:30,close,3,0.1,0.88844,0.8768,0,13.82,10086.97
14,2018.01.11 12:30,close,4,0.1,0.88847,0.87624,0,20.46,10107.43
15,2018.01.12 10:00,sell,6,0.1,0.8908,0,0,,
16,2018.01.12 10:00,modify,6,0.1,0.8908,0.9009,0,,
17,2018.01.12 13:46,close,5,0.1,0.88615,0.89689,0,6.44,10113.87
18,2018.01.12 13:46,close,6,0.1,0.88611,0.9009,0,52.23,10166.1
19,2018.01.17 13:00,buy,7,0.1,0.88618,0,0,,
20,2018.01.17 13:00,modify,7,0.1,0.88618,0.87608,0,,
21,2018.01.18 00:00,buy,8,0.1,0.88111,0,0,,
22,2018.01.18 00:00,modify,8,0.1,0.88111,0.87101,0,,
23,2018.01.24 08:57,s/l,7,0.1,0.87608,0.87608,0,-119.92,10046.18
24,2018.01.24 13:34,s/l,8,0.1,0.87101,0.87101,0,-118.91,9927.27
25,2018.01.31 22:00,buy,9,0.1,0.87457,0,0,,
26,2018.01.31 22:00,modify,9,0.1,0.87457,0.86447,0,,
27,2018.02.02 14:08,close,9,0.1,0.87977,0.86447,0,56.16,9983.44
28,2018.02.04 22:00,sell,10,0.1,0.88145,0,0,,
29,2018.02.04 22:00,modify,10,0.1,0.88145,0.89155,0,,
30,2018.02.05 14:00,sell,11,0.1,0.88586,0,0,,
31,2018.02.05 14:00,modify,11,0.1,0.88586,0.89596,0,,
32,2018.02.05 22:00,sell,12,0.1,0.88553,0,0,,
33,2018.02.05 22:00,modify,12,0.1,0.88553,0.89563,0,,
34,2018.02.08 05:19,close,10,0.1,0.88254,0.89155,0,-13.17,9970.27
35,2018.02.08 05:19,close,11,0.1,0.88255,0.89596,0,36.7,10006.96
36,2018.02.08 05:19,close,12,0.1,0.88254,0.89563,0,33.08,10040.04
37,2018.02.08 07:00,buy,13,0.1,0.88289,0,0,,
38,2018.02.08 07:00,modify,13,0.1,0.88289,0.87279,0,,
39,2018.02.12 15:42,close,13,0.1,0.88809,0.87279,0,56.73,10096.77
40,2018.02.14 06:00,sell,14,0.1,0.89042,0,0,,
41,2018.02.14 06:00,modify,14,0.1,0.89042,0.90052,0,,
42,2018.02.15 12:00,buy,15,0.1,0.888,0,0,,
43,2018.02.15 12:00,modify,15,0.1,0.888,0.8779,0,,
44,2018.02.16 01:00,buy,16,0.1,0.88681,0,0,,
45,2018.02.16 01:00,modify,16,0.1,0.88681,0.87671,0,,
46,2018.02.16 16:10,close,14,0.1,0.8852,0.90052,0,58.19,10154.96
47,2018.02.16 18:00,buy,17,0.1,0.88585,0,0,,
48,2018.02.16 18:00,modify,17,0.1,0.88585,0.87575,0,,
49,2018.02.22 11:00,sell,18,0.1,0.88488,0,0,,
50,2018.02.22 11:00,modify,18,0.1,0.88488,0.89498,0,,
51,2018.02.23 12:07,close,18,0.1,0.87967,0.89498,0,58.51,10213.47
52,2018.02.26 08:22,s/l,15,0.1,0.8779,0.8779,0,-120.8,10092.66
53,2018.02.28 14:00,sell,19,0.1,0.88395,0,0,,
54,2018.02.28 14:00,modify,19,0.1,0.88395,0.89405,0,,
55,2018.03.01 04:00,sell,20,0.1,0.8864,0,0,,
56,2018.03.01 04:00,modify,20,0.1,0.8864,0.8965,0,,
57,2018.03.01 06:00,sell,21,0.1,0.88639,0,0,,
58,2018.03.01 06:00,modify,21,0.1,0.88639,0.89649,0,,
59,2018.03.01 14:28,close,19,0.1,0.88384,0.89405,0,0.48,10093.14
60,2018.03.01 14:28,close,20,0.1,0.88383,0.8965,0,28.38,10121.52
61,2018.03.01 14:28,close,21,0.1,0.88382,0.89649,0,28.38,10149.9
62,2018.03.01 17:20,close,16,0.1,0.88894,0.87671,0,15.96,10165.86
63,2018.03.01 17:20,close,17,0.1,0.88895,0.87575,0,26.87,10192.73
64,2018.03.02 00:00,sell,22,0.1,0.89072,0,0,,
65,2018.03.02 00:00,modify,22,0.1,0.89072,0.90082,0,,
66,2018.03.07 07:00,sell,23,0.1,0.89373,0,0,,
67,2018.03.07 07:00,modify,23,0.1,0.89373,0.90383,0,,
68,2018.03.07 12:00,sell,24,0.1,0.8954,0,0,,
69,2018.03.07 12:00,modify,24,0.1,0.8954,0.9055,0,,
70,2018.03.08 03:00,buy,25,0.1,0.89205,0,0,,
71,2018.03.08 03:00,modify,25,0.1,0.89205,0.88195,0,,
