No,Date,Direction,PosNo,Size,Price,SL,TP,Profit,Cummul
1,2018.01.03 00:00,sell,1,0.1,1.70001,0,0,,
2,2018.01.03 00:00,modify,1,0.1,1.70001,1.71011,0,,
3,2018.01.03 04:00,sell,2,0.1,1.70205,0,0,,
4,2018.01.03 04:00,modify,2,0.1,1.70205,1.71215,0,,
5,2018.01.03 08:00,sell,3,0.1,1.70149,0,0,,
6,2018.01.03 08:00,modify,3,0.1,1.70149,1.71159,0,,
7,2018.01.03 10:32,close,1,0.1,1.69944,1.71011,0,3.02,10003.02
8,2018.01.03 10:32,close,2,0.1,1.69941,1.71215,0,16.53,10019.55
9,2018.01.03 10:32,close,3,0.1,1.69938,1.71159,0,13.07,10032.62
10,2018.01.03 17:00,buy,4,0.1,1.6947,0,0,,
11,2018.01.03 17:00,modify,4,0.1,1.6947,1.6846,0,,
12,2018.01.05 13:30,s/l,4,0.1,1.6846,1.6846,0,-69.26,9963.36
13,2018.01.08 11:00,buy,5,0.1,1.68026,0,0,,
14,2018.01.08 11:00,modify,5,0.1,1.68026,1.67016,0,,
15,2018.01.08 14:57,close,5,0.1,1.68548,1.67016,0,33.37,9996.73
16,2018.01.10 21:00,sell,6,0.1,1.69503,0,0,,
17,2018.01.10 21:00,modify,6,0.1,1.69503,1.70513,0,,
18,2018.01.12 09:40,s/l,6,0.1,1.70513,1.70513,0,-66.55,9930.18
19,2018.01.12 11:00,sell,7,0.1,1.70353,0,0,,
20,2018.01.12 11:00,modify,7,0.1,1.70353,1.71363,0,,
21,2018.01.12 13:46,s/l,7,0.1,1.71363,1.71363,0,-66.61,9863.57
22,2018.01.12 15:00,sell,8,0.1,1.71045,0,0,,
23,2018.01.12 15:00,modify,8,0.1,1.71045,1.72055,0,,
24,2018.01.15 12:00,sell,9,0.1,1.71307,0,0,,
25,2018.01.15 12:00,modify,9,0.1,1.71307,1.72317,0,,
26,2018.01.16 13:03,close,8,0.1,1.70916,1.72055,0,7.76,9871.33
27,2018.01.16 13:03,close,9,0.1,1.70914,1.72317,0,24.96,9896.29
28,2018.01.17 02:00,sell,10,0.1,1.71632,0,0,,
29,2018.01.17 02:00,modify,10,0.1,1.71632,1.72642,0,,
30,2018.01.17 14:59,s/l,10,0.1,1.72642,1.72642,0,-66.62,9829.67
31,2018.01.18 13:00,sell,11,0.1,1.72587,0,0,,
32,2018.01.18 13:00,modify,11,0.1,1.72587,1.73597,0,,
33,2018.01.22 13:53,s/l,11,0.1,1.73597,1.73597,0,-66.57,9763.09
34,2018.01.24 17:00,sell,12,0.1,1.75428,0,0,,
35,2018.01.24 17:00,modify,12,0.1,1.75428,1.76438,0,,
36,2018.01.25 05:00,sell,13,0.1,1.75912,0,0,,
37,2018.01.25 05:00,modify,13,0.1,1.75912,1.76922,0,,
38,2018.01.25 08:04,close,12,0.1,1.7541,1.76438,0,0.52,9763.62
39,2018.01.25 08:04,close,13,0.1,1.75409,1.76922,0,32.13,9795.75
40,2018.01.26 18:00,buy,14,0.1,1.74831,0,0,,
41,2018.01.26 18:00,modify,14,0.1,1.74831,1.73821,0,,
42,2018.01.29 11:04,s/l,14,0.1,1.73821,1.73821,0,-67.29,9728.46
43,2018.01.30 06:00,buy,15,0.1,1.73533,0,0,,
44,2018.01.30 06:00,modify,15,0.1,1.73533,1.72523,0,,
45,2018.01.30 12:07,close,15,0.1,1.74056,1.72523,0,33.43,9761.89
46,2018.01.31 02:00,sell,16,0.1,1.74551,0,0,,
47,2018.01.31 02:00,modify,16,0.1,1.74551,1.75561,0,,
48,2018.01.31 09:40,close,16,0.1,1.7403,1.75561,0,33.3,9795.19
49,2018.02.01 03:00,sell,17,0.1,1.74768,0,0,,
50,2018.02.01 03:00,modify,17,0.1,1.74768,1.75778,0,,
51,2018.02.02 05:00,sell,18,0.1,1.75096,0,0,,
52,2018.02.02 05:00,modify,18,0.1,1.75096,1.76106,0,,
53,2018.02.05 11:51,close,17,0.1,1.74665,1.75778,0,6.06,9801.25
54,2018.02.05 11:51,close,18,0.1,1.74656,1.76106,0,28.04,9829.28
55,2018.02.05 14:00,buy,19,0.1,1.74758,0,0,,
56,2018.02.05 14:00,modify,19,0.1,1.74758,1.73748,0,,
57,2018.02.05 17:48,close,19,0.1,1.75279,1.73748,0,33.31,9862.59
58,2018.02.08 16:00,sell,20,0.1,1.76402,0,0,,
59,2018.02.08 16:00,modify,20,0.1,1.76402,1.77412,0,,
60,2018.02.08 16:17,close,20,0.1,1.75879,1.77412,0,33.44,9896.03
61,2018.02.09 09:00,sell,21,0.1,1.75949,0,0,,
62,2018.02.09 09:00,modify,21,0.1,1.75949,1.76959,0,,
63,2018.02.09 09:49,close,21,0.1,1.75429,1.76959,0,33.23,9929.26
64,2018.02.09 15:00,buy,22,0.1,1.7402,0,0,,
65,2018.02.09 15:00,modify,22,0.1,1.7402,1.7301,0,,
66,2018.02.09 18:00,buy,23,0.1,1.74002,0,0,,
67,2018.02.09 18:00,modify,23,0.1,1.74002,1.72992,0,,
68,2018.02.09 18:48,close,22,0.1,1.74271,1.7301,0,15.68,9944.94
69,2018.02.09 18:48,close,23,0.1,1.74273,1.72992,0,16.99,9961.93
70,2018.02.13 16:00,sell,24,0.1,1.74898,0,0,,
71,2018.02.13 16:00,modify,24,0.1,1.74898,1.75908,0,,
72,2018.02.14 10:31,close,24,0.1,1.74377,1.75908,0,33.32,9995.25
73,2018.02.14 13:00,buy,25,0.1,1.74366,0,0,,
74,2018.02.14 13:00,modify,25,0.1,1.74366,1.73356,0,,
75,2018.02.14 13:44,close,25,0.1,1.74887,1.73356,0,33.3,10028.55
76,2018.02.15 12:00,sell,26,0.1,1.75361,0,0,,
77,2018.02.15 12:00,modify,26,0.1,1.75361,1.76371,0,,
78,2018.02.16 06:00,sell,27,0.1,1.7613,0,0,,
79,2018.02.16 06:00,modify,27,0.1,1.7613,1.7714,0,,
